time,trend,season,com3-6,com2
2021/1/2,31327.97542,1288.414383,1052.063312,-59.453058
2021/1/2,31323.17578,-50.916304,1076.37943,-102.6389
2021/1/2,31318.85855,-1438.352591,1095.078639,-233.584591
2021/1/2,31315.17371,-2822.812553,1078.64555,-229.006733
2021/1/2,31312.25274,-4473.540912,1036.124372,-145.836188
2021/1/2,31310.20855,-5528.357439,986.199212,102.949729
2021/1/3,31309.12631,-5541.585941,943.3393,-211.879668
2021/1/3,31309.05995,-5243.605518,905.15436,-355.608769
2021/1/3,31310.03608,-5644.282133,865.259227,-253.013182
2021/1/3,31312.05705,-6312.257315,817.736809,-232.53654
2021/1/3,31315.10678,-6895.84562,755.242576,-119.503725
2021/1/3,31319.15583,-7325.748391,670.063455,-6.470847
2021/1/3,31324.16373,-7717.993366,554.659674,50.169952
2021/1/3,31330.07814,-8204.519512,401.534783,35.906591
2021/1/3,31336.83109,-8520.107424,203.192332,161.084008
2021/1/3,31344.34031,-8669.411013,-47.864128,282.934835
2021/1/3,31352.51456,-8407.418462,-356.718585,394.622492
2021/1/3,31361.25918,-8015.895638,-714.699486,369.335927
2021/1/3,31370.48111,-6604.843098,-1094.299369,174.661372
2021/1/3,31380.09587,-5508.450265,-1463.902255,-91.743417
2021/1/3,31390.03773,-4074.833549,-1791.891448,-270.312716
2021/1/3,31400.27394,-3080.995016,-2046.650257,-545.628477
2021/1/3,31410.8249,-1732.731055,-2196.561988,-715.531791
2021/1/3,31421.78466,-429.081754,-2219.714803,-422.988139
2021/1/3,31433.33023,822.656555,-2133.01629,-94.970539
2021/1/3,31445.71683,1761.384251,-1963.078899,240.977752
2021/1/3,31459.26526,2399.33784,-1736.515072,602.91194
2021/1/3,31474.34125,2869.540419,-1479.936891,590.055215
2021/1/3,31491.33199,3358.119263,-1216.115238,470.663988
2021/1/3,31510.62774,3711.000073,-952.740402,265.112612
2021/1/3,31532.60572,4230.918931,-694.777996,44.253347
2021/1/3,31557.61878,4553.599513,-448.381121,-69.837205
2021/1/3,31585.99413,4846.498274,-223.337783,-579.154627
2021/1/3,31618.02671,4819.483169,-30.090773,-614.419138
2021/1/3,31653.97681,4987.614765,122.556054,-662.147619
2021/1/3,31694.06983,5141.658981,230.604916,-613.333745
2021/1/3,31738.49728,5589.584279,298.918874,-278.000431
2021/1/3,31787.40815,6208.371016,334.420408,-74.19959
2021/1/3,31840.89915,7625.437151,344.031996,399.631712
2021/1/3,31899.00637,9266.078658,334.676119,531.238864
2021/1/3,31961.69516,9774.016554,313.47278,584.815448
2021/1/3,32028.86013,9591.294641,286.525514,509.319681
2021/1/3,32100.32715,8908.65443,252.909112,254.109323
2021/1/3,32175.86366,7870.579348,209.891804,-153.334816
2021/1/3,32255.19173,6622.537179,154.741819,-520.470727
2021/1/3,32337.99433,5161.240194,84.690626,-640.925129
2021/1/3,32423.92713,3818.860974,-2.03337,-380.754758
2021/1/3,32512.62832,2476.621155,-102.662691,-536.586778
2021/1/3,32603.723,1040.600976,-213.383723,-489.940232
2021/1/3,32696.82383,-466.228148,-330.778229,-408.817471
2021/1/3,32791.52289,-2068.997042,-451.552764,-207.973095
2021/1/3,32887.39935,-3626.101319,-572.499792,-216.798255
2021/1/3,32984.03149,-5304.228994,-690.797663,-38.004807
2021/1/3,33081.00415,-6458.678835,-804.533644,-50.791663
2021/1/4,33177.90545,-6839.418531,-911.595058,113.108111
2021/1/4,33274.32726,-6493.096555,-1008.226576,379.995851
2021/1/4,33369.87093,-6798.374047,-1089.983544,498.486672
2021/1/4,33464.15129,-7439.546247,-1151.93091,498.325868
2021/1/4,33556.80621,-7944.573165,-1187.395232,323.162186
2021/1/4,33647.50647,-8301.809203,-1188.86796,310.170714
2021/1/4,33735.96519,-8633.28017,-1148.298425,285.613455
2021/1/4,33821.94631,-9106.871214,-1058.333207,247.258134
2021/1/4,33905.27801,-9368.469727,-914.962426,131.154162
2021/1/4,33985.86318,-9422.116798,-715.15508,-10.591321
2021/1/4,34063.6852,-9064.553185,-455.831026,-124.300976
2021/1/4,34138.8064,-8435.101967,-135.054365,-150.650076
2021/1/4,34211.35797,-6601.512533,239.313687,-72.159133
2021/1/4,34281.52301,-5109.367226,637.711457,114.132788
2021/1/4,34349.51398,-3206.171787,1025.331418,233.326447
2021/1/4,34415.54668,-1744.996155,1367.273418,228.176072
2021/1/4,34479.82042,-79.5947,1627.686867,325.08747
2021/1/4,34542.50871,1279.098062,1770.463645,205.929497
2021/1/4,34603.75683,2362.52251,1782.142611,253.578052
2021/1/4,34663.68953,3101.069401,1691.090049,107.151122
2021/1/4,34722.41879,3481.816647,1535.034586,28.72998
2021/1/4,34780.04576,3767.184891,1355.844266,34.925127
2021/1/4,34836.65787,4121.184727,1217.683097,286.474247
2021/1/4,34892.32345,4287.939549,1185.059853,168.677054
2021/1/4,34947.08142,4655.995874,1224.376143,127.546583
2021/1/4,35000.93669,4885.842992,1278.203179,0.017166
2021/1/4,35053.84682,5144.787907,1302.095304,166.26993
2021/1/4,35105.71867,5106.288907,1254.957118,153.035314
2021/1/4,35156.40881,5261.984006,1101.901093,215.706087
2021/1/4,35205.73211,5371.323377,842.908761,235.035706
2021/1/4,35253.4776,5835.832294,524.401885,-27.711804
2021/1/4,35299.42313,6456.192601,206.006166,89.378115
2021/1/4,35343.35596,7731.017698,-47.048936,207.675278
2021/1/4,35385.08778,9121.085518,-195.879797,317.706497
2021/1/4,35424.46689,9552.639086,-216.717696,300.611721
2021/1/4,35461.3831,9370.940776,-115.792476,49.4686
2021/1/4,35495.76758,8833.6004,13.541296,20.090727
2021/1/4,35527.57706,7896.414615,70.082349,153.925976
2021/1/4,35556.77979,6646.084379,6.550373,159.585455
2021/1/4,35583.35572,5193.566136,-181.385844,316.464
2021/1/4,35607.3085,3720.935983,-380.178437,-115.066052
2021/1/4,35628.66448,2318.186694,-478.1997,132.348528
2021/1/4,35647.47841,704.95636,-490.04757,343.612802
2021/1/4,35663.83785,-956.189639,-464.657018,184.008831
2021/1/4,35677.86747,-2757.374876,-447.728953,36.236381
2021/1/4,35689.72425,-4477.301625,-465.113107,14.690494
2021/1/4,35699.59077,-6194.375239,-537.625564,92.410012
2021/1/4,35707.67025,-7456.883807,-667.084792,68.298359
2021/1/5,35714.18545,-7709.544579,-780.6376,222.996735
2021/1/5,35719.38222,-7316.651991,-810.401876,188.671664
2021/1/5,35723.53135,-7591.123155,-764.588365,105.18015
2021/1/5,35726.92562,-8186.323362,-674.7574,-11.844855
2021/1/5,35729.87011,-8669.215699,-582.407948,113.753527
2021/1/5,35732.67562,-9004.069935,-498.952629,146.346949
2021/1/5,35735.65081,-9308.073,-425.034701,139.45689
2021/1/5,35739.09309,-9750.204255,-354.78315,117.894335
2021/1/5,35743.27653,-9972.206209,-286.76449,102.694181
2021/1/5,35748.43791,-9939.108033,-218.420445,128.090569
2021/1/5,35754.76688,-9483.535605,-146.836452,38.605174
2021/1/5,35762.40114,-8585.997332,-68.543695,-52.860113
2021/1/5,35771.42931,-6376.206326,21.158552,53.618459
2021/1/5,35781.8983,-4509.524062,121.142501,31.483267
2021/1/5,35793.82235,-2175.908301,224.349312,-62.263363
2021/1/5,35807.19371,-298.266934,318.120109,124.953117
2021/1/5,35821.99359,1625.619828,383.956663,127.429879
2021/1/5,35838.19712,2857.10864,402.43313,147.261074
2021/1/5,35855.78023,3647.447352,355.983194,88.789239
2021/1/5,35874.71771,4117.416608,239.942246,181.923452
2021/1/5,35894.97351,4260.787784,74.635874,-25.397173
2021/1/5,35916.49197,4384.867171,-109.833386,108.474239
2021/1/5,35939.19334,4690.372987,-271.624897,-57.94145
2021/1/5,35962.97489,4726.888051,-381.540844,-56.322097
2021/1/5,35987.72108,4978.011092,-419.875635,-114.856557
