,power,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
24,28036,27786.2,26557.15039,26647.55078,27260.48,27202.20907,27789.00912,26892.93,27621.77907,27767.98911,27895.1,27994.71094,28023.18021,27866.47021,29302.11914,27455.23053,27476.40054,27319.86914,26930.82987,27329.03987
25,27942,27600.93,26261.74023,26394.33984,26992.48,27068.03947,27580.54074,26847.19,27427.84947,27588.36076,27798.13,28056.99023,27809.72073,27723.93074,29650.60938,27317.65096,27636.19096,27131.06055,26804.12926,27111.94926
26,27628,27384.82001,25994.74023,26275.31055,26734.93,26855.58015,27420.90094,26745.43,27126.50015,27464.58092,27596.88,27932.33984,27679.08981,27637.8098,29903.50977,26938.33057,27192.80056,27142.88086,26648.7309,26884.71089
27,27394,27204.46,25805.64063,26227.33984,26661.06,26778.58057,27316.31976,26680.98,26954.39057,27330.68974,27441.93,27858.83008,27540.04014,27445.99014,29677.15039,27062.35999,27432.12998,27058.74023,26510.34956,26682.81956
28,27430,27090.19,25789.61914,26326.69922,26665.45,26784.75059,27347.09918,26721.65,26830.73059,27388.34917,27386.81,28253.30078,27462.68902,27367.259,29779.33008,26917.85965,27372.23964,27137.39063,26472.04966,26589.79966
29,27489,27190.47,26023.64063,26609.40039,27064.87,27088.17953,27536.30045,26927.46,27009.66953,27592.95044,27566.93,28585.4707,27665.04965,27540.03964,30031.33984,27359.39951,27709.02951,27392.75977,26614.2909,26694.7509
30,27944,27692.70001,26573.76953,27082.74023,27800.46,27638.25911,27958.42943,27481.97,27433.02912,28044.66943,28048.9,29294.08008,28085.23965,28094.90964,29928.07031,27692.60913,28121.16913,27910.24023,27028.93972,27096.55973
31,28336,28401.73999,27352.88086,27807.38086,28916.85,28400.85077,28576.12929,28203.04,28089.89075,28646.31929,28797.57,30057.59961,28882.24034,28741.95036,30080.01953,28486.80984,28994.77986,28465.67969,27729.78927,27799.37927
32,29133,29105.41001,28266.51953,28642.7207,30022.39,29257.77959,29336.27069,28993.16,28830.77959,29425.24069,29618.54,30594.75977,29461.08092,29375.15091,30317.07031,29066.93005,29623.47005,29096.57031,28619.98059,28698.29059
33,29807,29763.9,29106.66016,29451.7793,31148.13,30065.65048,30043.27069,29771.76,29492.91049,30088.07068,30456.01,31333.9707,30113.00099,30194.45099,30744.26953,29845.68063,30420.05064,29730.90039,29562.5807,29634.68071
34,30364,30395.61001,29756.94922,30185.88086,31869.9,30595.18942,30660.11899,30472.63,29917.81944,30714.74899,31022.21,31692.09961,30478.6804,30693.53041,31364.09961,30367.60999,31031.10999,30031.41016,30313.82977,30384.41977
35,30753,30686.60999,30117.25,30645.2207,32258.57,31001.69995,31162.84938,30802.67,30262.67993,31229.03938,31174.47,31857.16016,30816.73024,31051.63023,31824.13086,31361.30957,31844.48956,30155.43945,30852.85955,30893.02954
36,30655,30780.32997,30209.17969,30853.80078,32419.29,31319.11069,31514.80966,30896.03,30511.29065,31599.76967,31143.32,31793.14063,30998.78905,31127.72904,32703.61914,31248.87085,31813.79086,30150.35938,31126.19039,31147.29039
37,30812,30998.25002,30033.08008,30690,32371.97,31550.28906,31599.35994,31096.33,30713.61908,31664.31994,31300.16,31536.91992,31099.94084,31331.28084,33502.12891,31783.91998,32299.93998,30100.21094,31175.16,31152.39
38,31045,31111.05,29669.85938,30194.89063,31958.17,31512.32056,31428.46033,31266.09,30651.29055,31471.75034,31414.57,31342.59961,31247.80984,31626.48984,33491.98047,31799.84003,32332.14001,29874.66016,30951.16058,30917.55058
39,30836,30767.33,29139.91016,29538.09961,31335.41,31102.42017,30953.32001,30942.19,30259.55016,30885.02,30945.02,30750.16992,31040.14934,31494.82935,33051.94922,31597.83053,31937.64053,29517.03906,30470.93037,30431.62037
40,29941,29786.81,28444.18945,28578.41992,30310.62,30263.3996,30154.87083,29972.16,29424.37959,30026.25084,29748.22,29876.98047,30030.28001,30522.02002,31986.66016,30719.95953,31147.63953,28855.17969,29689.94977,29675.84977
41,28576,28517.29001,27533.5,27590.43945,29024.33,29002.88971,29094.54077,28753.28,28208.41972,28945.59077,28187.48,28601.7793,28874.84914,29380.08913,30606.10938,30073.5605,30297.7905,28022.11914,28642.59038,28626.75037
42,27050,27137.39999,26425.31055,26436.48047,27626.62,27584.70993,27781.55933,27393.45,26867.79991,27588.72933,26670.37,27371.98047,27406.74066,27989.29066,28692.01953,28601.38902,28924.52902,26750.30078,27317.4491,27299.8391
43,25645,25856.39,25177.98047,25296.64063,26199.68,26154.73953,26301.30009,26045.73,25520.32953,26117.01008,25433.39,25847.16016,25944.90992,26514.13992,26605.48047,26911.19092,27125.38093,25321.13086,25854.64024,25842.16024
44,24084,24469.93,23846.85938,24136.5,24886.14,24788.83011,24749.67075,24499.44,24292.07011,24573.82076,24035.46,24405.41992,24483.41998,24940.22997,24807.4707,25462.8403,25677.9403,23944.19922,24305.90935,24304.34934
45,22732,23134.97,22582.65039,23074.41992,23543.4,23395.32062,23343.34054,22975.85,23048.95061,23237.07053,22893.76,23122.17969,23213.37983,23561.99983,23104.75977,23878.80937,24190.25937,22658.96094,22877.76947,22889.99947
46,21618,22042.46,21499.61914,22021.51953,22365.11,22196.99905,22192.80961,21744.14,21933.16905,22110.4196,22041.84,21852.83008,22104.68066,22456.60065,21700.43945,22650.82006,22981.53006,21696.59961,21667.90045,21694.35046
47,20513,21211.47999,20695.46094,21161.19922,21443.8,21273.74081,21395.07996,20790.72,21108.85081,21363.35995,21317.88,20871.4707,21264.76978,21531.6298,20935.26953,21354.42915,21801.63916,21061.33984,20798.81088,20875.08088
48,20156,20838.43001,20131.34961,20422.44922,20767.54,20749.94086,20914.8292,20396.72,20696.36087,20873.4592,21032.36,20141.66016,20779.31903,21013.46902,20554.51953,21096.33965,21559.94965,20746.14063,20249.37973,20381.37973
